run_name,ipc,method,lambda_fr,lambda_kd,kd_temperature,mean_acc_global_after,mean_acc_new_after,mean_acc_expert_after,mean_forgetting,source_file
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,10,DSDM_LOGIT,0.2,0.6,2.0,34.135000,30.710000,44.410000,22.730000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,10,DSDM_LOGIT,0.2,0.6,2.0,34.117500,30.280000,45.630000,21.510000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,10,DSDM_LOGIT,0.25,0.6,2.0,34.082500,30.830000,43.840000,23.300000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep050_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,34.035000,30.643333,44.210000,22.930000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep050_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,10,DSDM_LOGIT,0.3,0.6,2.0,34.020000,30.673333,44.060000,23.080000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc10_ep060_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,33.905000,30.456667,44.250000,22.890000,outputs/cifar100_4agent_25cls_refine_tuning_ipc10_ep060_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr015_kd050,10,DSDM_LOGIT,0.15,0.5,2.0,33.760000,30.516667,43.490000,23.650000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr015_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,10,DSDM_LOGIT,0.2,0.6,2.0,33.750000,30.453333,43.640000,23.500000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,10,DSDM_LOGIT,0.25,0.5,2.0,33.682500,30.170000,44.220000,22.920000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050/metrics/social_results.csv
cifar100_4agent_25cls_conv_family_tuning_A_ep100_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,33.575000,30.090000,44.030000,23.110000,outputs/cifar100_4agent_25cls_conv_family_tuning_A_ep100_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc10_ep075_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,33.575000,30.166667,43.800000,23.340000,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep075_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd060,10,DSDM_LOGIT,0.2,0.6,2.0,33.427500,29.970000,43.800000,23.340000,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd060/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc10_ep090_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,33.427500,29.803333,44.300000,22.840000,outputs/cifar100_4agent_25cls_refine_tuning_ipc10_ep090_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc10_ep125_fr020_kd050,10,DSDM_LOGIT,0.2,0.5,2.0,33.240000,29.730000,43.770000,23.370000,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep125_fr020_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd040,10,DSDM_LOGIT,0.2,0.4,2.0,33.090000,29.596667,43.570000,23.570000,outputs/cifar100_4agent_25cls_joint_tuning_ipc10_ep100_fr020_kd040/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,10,DSDM_LOGIT,0.2,0.6,1.0,32.332500,28.120000,44.970000,22.170000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep225_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,46.230000,45.660000,47.940000,17.430000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep225_fr005_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,50,DSDM_LOGIT,0.04,0.5,2.0,46.230000,45.570000,48.210000,17.160000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc50_ep250_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,46.182500,45.446667,48.390000,16.980000,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep250_fr005_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc50_ep300_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,46.162500,45.216667,49.000000,16.370000,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep300_fr005_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,50,DSDM_LOGIT,0.06,0.5,2.0,46.147500,45.380000,48.450000,16.920000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,46.127500,45.236667,48.800000,16.570000,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,50,DSDM_LOGIT,0.05,0.6,2.0,46.035000,45.243333,48.410000,16.960000,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,50,DSDM_LOGIT,0.05,0.4,2.0,45.942500,44.850000,49.220000,16.150000,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040/metrics/social_results.csv
cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,45.912500,44.823333,49.180000,16.190000,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,50,DSDM_LOGIT,0.075,0.5,2.0,45.407500,44.056667,49.460000,15.910000,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,50,DSDM_LOGIT,0.03,0.5,2.0,45.312500,43.903333,49.540000,15.830000,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050/metrics/social_results.csv
cifar100_4agent_25cls_ipc50_allconvnet,50,DSDM_LOGIT,0.05,0.5,2.0,45.177500,43.736667,49.500000,15.870000,outputs/cifar100_4agent_25cls_ipc50_allconvnet/metrics/social_results.csv
cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,50,DSDM_LOGIT,0.05,0.5,2.0,44.637500,42.903333,49.840000,15.530000,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050/metrics/social_results.csv
